fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,flight_speed,lat,long,condition
2018-03-31,AA,AA_CODESHARE,AA,3027,OO,N727SK,3027,10792,BUF,"Buffalo, NY",13930,ORD,"Chicago, IL",749,828.0,39.0,24.0,852.0,921.0,5.0,859,926.0,27.0,0,,0,N,130,118.0,89.0,1,474,0.0,27.0,0.0,0.0,0.0,,,,,5.325842696629214,42.9402016,-78.7307523,"Rain, Partially cloudy"
2018-11-14,DL,DL,DL,1215,DL,N307DQ,1215,10397,ATL,"Atlanta, GA",11624,EYW,"Key West, FL",946,1000.0,14.0,16.0,1016.0,1149.0,3.0,1134,1152.0,18.0,0,,0,N,108,112.0,93.0,1,646,0.0,7.0,4.0,0.0,7.0,,,,,6.946236559139785,33.6377988,-84.4292712,"Rain, Overcast"
2018-06-22,DL,DL,DL,1094,DL,N307DQ,1094,10397,ATL,"Atlanta, GA",13851,OKC,"Oklahoma City, OK",1906,1922.0,16.0,33.0,1955.0,2041.0,5.0,2020,2046.0,26.0,0,,0,N,134,144.0,106.0,1,761,0.0,16.0,10.0,0.0,0.0,,,,,7.179245283018868,33.6377988,-84.4292712,"Rain, Partially cloudy"
2018-12-04,AA,AA_CODESHARE,AA,3650,MQ,N676AE,3650,13930,ORD,"Chicago, IL",15048,SUX,"Sioux City, IA",1315,1401.0,46.0,29.0,1430.0,1534.0,4.0,1450,1538.0,48.0,0,,0,N,95,97.0,64.0,1,436,0.0,39.0,2.0,0.0,7.0,,,,,6.8125,-17.7868996,127.6699982,"Rain, Partially cloudy"
2019-12-28,UA,UA,UA,749,UA,N77430,749,11292,DEN,"Denver, CO",11618,EWR,"Newark, NJ",1331,1411.0,40.0,71.0,1522.0,2030.0,6.0,1908,2036.0,88.0,0,,0,N,217,265.0,188.0,1,1605,0.0,3.0,48.0,0.0,37.0,,,,,8.537234042553191,12.1341164,-68.2761506,Partially cloudy
2019-07-31,AA,AA,AA,1756,AA,N835AW,1756,11057,CLT,"Charlotte, NC",10423,AUS,"Austin, TX",1634,1709.0,35.0,30.0,1739.0,1851.0,8.0,1825,1859.0,34.0,0,,0,N,171,170.0,132.0,1,1032,0.0,34.0,0.0,0.0,0.0,,,,,7.818181818181818,35.2107415,-80.9457435,Partially cloudy
2019-08-22,AA,AA,AA,2627,AA,N938AN,2627,14492,RDU,"Raleigh/Durham, NC",11298,DFW,"Dallas/Fort Worth, TX",1553,1648.0,55.0,86.0,1814.0,1943.0,7.0,1754,1950.0,116.0,0,,0,N,181,242.0,149.0,1,1061,0.0,36.0,61.0,0.0,19.0,,,,,7.120805369127517,35.8803614,-78.7872382,"Rain, Partially cloudy"
2018-11-28,DL,DL_CODESHARE,DL,3826,OO,N279SY,3826,10599,BHM,"Birmingham, AL",12953,LGA,"New York, NY",605,608.0,3.0,35.0,643.0,948.0,11.0,930,959.0,29.0,0,,0,N,145,171.0,125.0,1,866,0.0,3.0,26.0,0.0,0.0,,,,,6.928,33.5635,-86.7515125,Clear
2018-12-14,UA,UA_CODESHARE,UA,4931,C5,N14173,4931,10785,BTV,"Burlington, VT",11618,EWR,"Newark, NJ",1330,1504.0,94.0,36.0,1540.0,1631.0,17.0,1500,1648.0,108.0,0,,0,N,90,104.0,51.0,1,266,0.0,8.0,14.0,0.0,86.0,,,,,5.215686274509804,44.4728965,-73.1514631,"Rain, Partially cloudy"
2019-03-25,AA,AA,AA,1187,AA,N991AU,1187,11298,DFW,"Dallas/Fort Worth, TX",12953,LGA,"New York, NY",1141,1158.0,17.0,13.0,1211.0,1605.0,21.0,1602,1626.0,24.0,0,,0,N,201,208.0,174.0,1,1389,0.0,17.0,7.0,0.0,0.0,,,,,7.982758620689655,32.8965194,-97.0465221,"Rain, Partially cloudy"
2019-12-16,WN,WN,WN,2389,WN,N8650F,2389,10693,BNA,"Nashville, TN",11292,DEN,"Denver, CO",1640,1712.0,32.0,11.0,1723.0,1848.0,7.0,1830,1855.0,25.0,0,,0,N,170,163.0,145.0,1,1014,0.0,8.0,0.0,0.0,17.0,,,,,6.993103448275862,32.8414824,13.1676008,Partially cloudy
2019-09-28,DL,DL,DL,1107,DL,N686DA,1107,10397,ATL,"Atlanta, GA",14747,SEA,"Seattle, WA",1950,2025.0,35.0,41.0,2106.0,2237.0,26.0,2205,2303.0,58.0,0,,0,N,315,338.0,271.0,1,2182,0.0,35.0,23.0,0.0,0.0,,,,,8.051660516605166,33.6377988,-84.4292712,"Rain, Partially cloudy"
