fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,flight_speed,lat,long,condition
2018-08-14,AA,AA,AA,680,AA,N190UW,680,14100,PHL,"Philadelphia, PA",14107,PHX,"Phoenix, AZ",1345,1733.0,228.0,23.0,1756.0,1941.0,5.0,1544,1946.0,242.0,0,,0,N,299,313.0,285.0,1,2075,0.0,6.0,14.0,0.0,222.0,,,,,7.280701754385965,13.6818766,100.7485803,"Rain, Partially cloudy"
2018-07-26,AA,AA,AA,1074,AA,N989NN,1074,13303,MIA,"Miami, FL",10721,BOS,"Boston, MA",1632,1659.0,27.0,17.0,1716.0,2015.0,5.0,1948,2020.0,32.0,0,,0,N,196,201.0,179.0,1,1258,0.0,27.0,5.0,0.0,0.0,,,,,7.027932960893855,39.9914323,-84.2937295,"Rain, Partially cloudy"
2019-02-22,UA,UA_CODESHARE,UA,5529,OO,N492SW,5529,11292,DEN,"Denver, CO",14698,SBP,"San Luis Obispo, CA",1906,2039.0,93.0,81.0,2200.0,2320.0,3.0,2108,2323.0,135.0,0,,0,N,182,224.0,140.0,1,931,0.0,86.0,42.0,0.0,7.0,1904.0,21.0,21.0,,6.65,12.1341164,-68.2761506,Partially cloudy
2019-07-31,G4,G4,G4,2422,G4,216NV,2422,14761,SFB,"Sanford, FL",11986,GRR,"Grand Rapids, MI",1546,1624.0,38.0,39.0,1703.0,1923.0,7.0,1816,1930.0,74.0,0,,0,N,150,186.0,140.0,1,1001,0.0,38.0,36.0,0.0,0.0,,,,,7.15,28.7754331,-81.243296,"Rain, Partially cloudy"
2018-06-26,AA,AA_CODESHARE,AA,4234,AX,N610AE,4234,15016,STL,"St. Louis, MO",11278,DCA,"Washington, DC",603,656.0,53.0,20.0,716.0,1003.0,7.0,910,1010.0,60.0,0,,0,N,127,134.0,107.0,1,719,0.0,53.0,7.0,0.0,0.0,,,,,6.719626168224299,38.7496273,-90.3704702,"Rain, Overcast"
2018-06-21,UA,UA,UA,583,UA,N815UA,583,13303,MIA,"Miami, FL",14771,SFO,"San Francisco, CA",1850,1922.0,32.0,22.0,1944.0,2212.0,10.0,2144,2222.0,38.0,0,,0,N,354,360.0,328.0,1,2585,0.0,21.0,6.0,0.0,11.0,,,,,7.8810975609756095,39.9914323,-84.2937295,"Rain, Overcast"
2019-06-28,AA,AA_CODESHARE,AA,5578,OH,N579NN,5578,11057,CLT,"Charlotte, NC",13342,MKE,"Milwaukee, WI",2215,2231.0,16.0,33.0,2304.0,2335.0,4.0,2317,2339.0,22.0,0,,0,N,122,128.0,91.0,1,651,0.0,16.0,6.0,0.0,0.0,,,,,7.153846153846154,35.2107415,-80.9457435,"Rain, Partially cloudy"
2019-03-07,WN,WN,WN,2441,WN,N8504G,2441,14747,SEA,"Seattle, WA",14107,PHX,"Phoenix, AZ",630,640.0,10.0,37.0,717.0,1040.0,5.0,1020,1045.0,25.0,0,,0,N,170,185.0,143.0,1,1107,0.0,10.0,15.0,0.0,0.0,,,,,7.741258741258742,47.4475673,-122.3080159,"Snow, Rain, Partially cloudy"
2019-01-22,DL,DL,DL,1421,DL,N962DN,1421,10397,ATL,"Atlanta, GA",14100,PHL,"Philadelphia, PA",2240,2341.0,61.0,8.0,2349.0,114.0,9.0,41,123.0,42.0,0,,0,N,121,102.0,85.0,1,666,0.0,42.0,0.0,0.0,0.0,,,,,7.835294117647058,33.6377988,-84.4292712,Partially cloudy
2018-08-07,UA,UA_CODESHARE,UA,3939,ZW,N453AW,3939,13930,ORD,"Chicago, IL",12339,IND,"Indianapolis, IN",1830,1927.0,57.0,22.0,1949.0,2124.0,7.0,2039,2131.0,52.0,0,,0,N,69,64.0,35.0,1,177,0.0,5.0,0.0,0.0,47.0,,,,,5.057142857142857,-17.7868996,127.6699982,Clear
2019-07-11,WN,WN,WN,314,WN,N479WN,314,12391,ISP,"Islip, NY",10821,BWI,"Baltimore, MD",1415,1555.0,100.0,6.0,1601.0,1653.0,6.0,1535,1659.0,84.0,0,,0,N,80,64.0,52.0,1,220,0.0,84.0,0.0,0.0,0.0,,,,,4.230769230769231,40.7896455,-73.097315,"Rain, Partially cloudy"
2018-08-17,UA,UA_CODESHARE,UA,5726,OO,N784SK,5726,11292,DEN,"Denver, CO",10372,ASE,"Aspen, CO",1422,1841.0,259.0,18.0,1859.0,1925.0,3.0,1516,1928.0,252.0,0,,0,N,54,47.0,26.0,1,125,0.0,238.0,0.0,0.0,14.0,,,,,4.807692307692308,12.1341164,-68.2761506,Partially cloudy
2018-09-26,DL,DL,DL,2838,DL,N957DL,2838,10397,ATL,"Atlanta, GA",14492,RDU,"Raleigh/Durham, NC",2059,2253.0,114.0,24.0,2317.0,15.0,8.0,2222,23.0,121.0,0,,0,N,83,90.0,58.0,1,356,0.0,1.0,7.0,0.0,113.0,,,,,6.137931034482759,33.6377988,-84.4292712,"Rain, Partially cloudy"
2019-10-21,DL,DL_CODESHARE,DL,3593,OO,N936EV,3593,10397,ATL,"Atlanta, GA",12007,GTR,"Columbus, MS",1254,1351.0,57.0,14.0,1405.0,1355.0,3.0,1257,1358.0,61.0,0,,0,N,63,67.0,50.0,1,241,0.0,35.0,4.0,0.0,22.0,,,,,4.82,33.6377988,-84.4292712,Partially cloudy
2019-08-10,DL,DL_CODESHARE,DL,3438,9E,N8877A,3438,10581,BGR,"Bangor, ME",12953,LGA,"New York, NY",1525,1559.0,34.0,9.0,1608.0,1714.0,12.0,1700,1726.0,26.0,0,,0,N,95,87.0,66.0,1,378,0.0,1.0,0.0,0.0,25.0,,,,,5.727272727272728,44.8072619,-68.8194149,"Rain, Partially cloudy"
2019-07-25,B6,B6,B6,2201,B6,N947JB,2201,11697,FLL,"Fort Lauderdale, FL",12892,LAX,"Los Angeles, CA",2211,2222.0,11.0,16.0,2238.0,21.0,35.0,34,56.0,22.0,0,,0,N,323,334.0,283.0,1,2343,0.0,11.0,11.0,0.0,0.0,,,,,8.279151943462898,26.072017,-80.1509967,"Rain, Partially cloudy"
2019-04-15,B6,B6,B6,2667,B6,N643JB,2667,10721,BOS,"Boston, MA",10994,CHS,"Charleston, SC",745,832.0,47.0,25.0,857.0,1122.0,6.0,1018,1128.0,70.0,0,,0,N,153,176.0,145.0,1,818,0.0,37.0,33.0,0.0,0.0,,,,,5.641379310344828,12.1335634,-68.276194,Partially cloudy
2018-09-01,UA,UA,UA,1745,UA,N66841,1745,13930,ORD,"Chicago, IL",14771,SFO,"San Francisco, CA",1042,1105.0,23.0,52.0,1157.0,1347.0,6.0,1325,1353.0,28.0,0,,0,N,283,288.0,230.0,1,1846,0.0,23.0,5.0,0.0,0.0,,,,,8.02608695652174,-17.7868996,127.6699982,Partially cloudy
2018-04-02,G4,G4,G4,136,G4,330NV,136,10466,AZA,"Phoenix, AZ",11637,FAR,"Fargo, ND",750,921.0,91.0,11.0,932.0,1411.0,7.0,1251,1418.0,87.0,0,,0,N,181,177.0,159.0,1,1220,69.0,18.0,0.0,0.0,0.0,,,,,7.672955974842767,33.3059145,-111.6526441,Partially cloudy
2018-04-16,UA,UA_CODESHARE,UA,3716,YX,N634RW,3716,11618,EWR,"Newark, NJ",14321,PWM,"Portland, ME",810,915.0,65.0,30.0,945.0,1032.0,4.0,936,1036.0,60.0,0,,0,N,86,81.0,47.0,1,284,0.0,60.0,0.0,0.0,0.0,,,,,6.042553191489362,40.689064,-74.1772549,"Rain, Overcast"
2019-12-08,UA,UA_CODESHARE,UA,5880,OO,N163SY,5880,14771,SFO,"San Francisco, CA",14004,PAE,"Everett, WA",1302,1356.0,54.0,18.0,1414.0,1608.0,3.0,1519,1611.0,52.0,0,,0,N,137,135.0,114.0,1,710,0.0,52.0,0.0,0.0,0.0,,,,,6.228070175438597,37.622452,-122.3839894,"Rain, Partially cloudy"
2018-05-20,UA,UA_CODESHARE,UA,3755,YX,N751YX,3755,13930,ORD,"Chicago, IL",13367,MLI,"Moline, IL",2105,2107.0,2.0,38.0,2145.0,2220.0,10.0,2203,2230.0,27.0,0,,0,N,58,83.0,35.0,1,139,0.0,2.0,25.0,0.0,0.0,,,,,3.971428571428572,-17.7868996,127.6699982,Partially cloudy
2018-08-02,AA,AA,AA,1002,AA,N805NN,1002,13930,ORD,"Chicago, IL",11278,DCA,"Washington, DC",909,944.0,35.0,14.0,958.0,1224.0,6.0,1202,1230.0,28.0,0,,0,N,113,106.0,86.0,1,612,0.0,1.0,0.0,0.0,27.0,,,,,7.116279069767442,-17.7868996,127.6699982,Partially cloudy
2019-12-01,UA,UA,UA,1628,UA,N77542,1628,11618,EWR,"Newark, NJ",14635,RSW,"Fort Myers, FL",2030,2242.0,132.0,26.0,2308.0,148.0,3.0,2335,151.0,136.0,0,,0,N,185,189.0,160.0,1,1068,0.0,12.0,4.0,0.0,120.0,,,,,6.675,40.689064,-74.1772549,"Snow, Rain, Overcast"
